time_specs,poss_masc,poss_fem,poss_sg_fem_vowel,poss_pl,det_sg_masc,det_sg_fem,det_pl_fem,det_pl_masc,quant_masc,quant_fem,det_poss_tf,subject_sg,gender_subj_sg,context_gender_sg,subject_pl,gender_subj_pl,context_gender_pl,subjects_pron,adverbs
A mediados de septiembre,,,,,,,,,,,F,cajera,F,F,cajeras,F,F,,
A finales de septiembre,,,,,,,,,,,F,presidente,M,M,presidentes,M,M,,
A principios de octubre,,,,,,,,,,,F,presidenta,F,F,presidentas,F,F,,
A mediados de octubre,,,,,,,,,,,F,jefe,M,M,jefes,M,M,,
A finales de octubre,,,,,,,,,,,F,jefa,F,F,jefas,F,F,,
A principios de noviembre,,,,,,,,,,,F,ciudadano,M,M,ciudadanos,M,M,,
A mediados de noviembre,,,,,,,,,,,F,ciudadana,F,F,ciudadanas,F,F,,
A finales de noviembre,,,,,,,,,,,T,compañero de clase,M/F,M,compañeros de clase,MF,M,,
A principios de diciembre,,,,,,,,,,,T,compañera de clase,M/F,F,compañeras de clase,MF,F,,
A mediados de diciembre,,,,,,,,,,,F,empleado de oficina,M,M,empleados de oficina,M,M,,
A finales de diciembre,,,,,,,,,,,F,empleada de oficina,F,F,empleadas de oficina,F,F,,
Durante el fin de semana,,,,,,,,,,,F,cliente,M,M,clientes,M,M,,
Antes del fin de semana,,,,,,,,,,,F,clienta,F,F,clientas,F,F,,
Después del fin de semana,,,,,,,,,,,T,colega,M/F,M,colegas,MF,M,,
Durante la noche,,,,,,,,,,,T,colega,M/F,F,colegas,MF,F,,
Antes de la noche,,,,,,,,,,,T,pareja,M,M,parejas,M,M,,
Después de la noche,,,,,,,,,,,T,pareja,F,F,parejas,F,F,,
Durante la tarde,,,,,,,,,,,T,consultor,M,M,consultores,M,M,,
Antes de la tarde,,,,,,,,,,,T,consultora,F,F,consultoras,F,F,,
Después de la tarde,,,,,,,,,,,T,primo,M,M,primos,M,M,,
Durante la noche,,,,,,,,,,,T,prima,F,F,primas,F,F,,
Antes de la noche,,,,,,,,,,,F,diseñador,M,M,diseñadores,M,M,,
Después de la noche,,,,,,,,,,,F,diseñadora,F,F,diseñadoras,F,F,,
Durante la mañana,,,,,,,,,,,F,detective,M/F,M,detectives,MF,M,,
Antes de la mañana,,,,,,,,,,,F,detective,M/F,F,detectives,MF,F,,
Después de la mañana,,,,,,,,,,,F,director,M,M,directores,M,M,,
Durante la ceremonia,,,,,,,,,,,F,directora,F,F,directoras,F,F,,
Antes de la ceremonia,,,,,,,,,,,T,médico,M/F,M,médicos,MF,M,,
Después de la ceremonia,,,,,,,,,,,T,médica,M/F,F,médicas,MF,F,,
Durante la conferencia,,,,,,,,,,,F,conductor,M,M,conductores,M,M,,
Antes de la conferencia,,,,,,,,,,,F,conductora,F,F,conductoras,F,F,,
Después de la conferencia,,,,,,,,,,,T,empleado,M,M,empleados,M,M,,
Durante el congreso,,,,,,,,,,,T,empleada,F,F,empleadas,F,F,,
Antes del congreso,,,,,,,,,,,F,ingeniero,M,M,ingenieros,M,M,,
Después del congreso,,,,,,,,,,,F,ingeniera,F,F,ingenieras,F,F,,
Durante la celebración,,,,,,,,,,,F,examinador,M,M,examinadores,M,M,,
Antes de la celebración,,,,,,,,,,,F,examinadora,F,F,examinadoras,F,F,,
Después de la celebración,,,,,,,,,,,F,agricultor,M,M,agricultores,M,M,,
Durante el ensayo,,,,,,,,,,,F,agricultora,F,F,agricultoras,F,F,,
Antes del ensayo,,,,,,,,,,,T,padre,M,M,padres,M,M,,
Después del ensayo,,,,,,,,,,,F,bombero,M,M,bomberos,M,M,,
Durante las vacaciones,,,,,,,,,,,F,bombera,F,F,bomberas,F,F,,
Antes de las vacaciones,,,,,,,,,,,T,amigo,M,M,amigos,M,M,,
Después de las vacaciones,,,,,,,,,,,T,amiga,F,F,amigas,F,F,,
Durante los días libres,,,,,,,,,,,F,jardinero,M,M,jardineros,M,M,,
Antes de los días libres,,,,,,,,,,,F,jardinera,F,F,jardineras,F,F,,
Después de los días libres,,,,,,,,,,,F,hija,F,F,hijas,F,F,,
Durante la sesión,,,,,,,,,,,T,abuelo,M,M,abuelos,M,M,,
Antes de la sesión,,,,,,,,,,,T,abuela,F,F,abuelas,F,F,,
Después de la sesión,,,,,,,,,,,F,guardián,M,M,guardianes,M,M,,
Antes de la salida,,,,,,,,,,,F,guardiana,F,F,guardianas,F,F,,
Después de la salida,,,,,,,,,,,T,invitado,M,M,invitados,M,M,,
Antes de la llegada,,,,,,,,,,,T,invitada,F,F,invitadas,F,F,,
Después de la llegada,,,,,,,,,,,T,anfitrión,M/F,M,anfitriones,MF,M,,
Justo antes del desayuno,,,,,,,,,,,T,anfitriona,M/F,F,anfitrionas,MF,F,,
Justo después del desayuno,,,,,,,,,,,T,anfitriona,F,F,anfitrionas,F,F,,
Justo antes del almuerzo,,,,,,,,,,,T,marido,M,M,maridos,M,M,,
Justo después del almuerzo,,,,,,,,,,,F,becario,M/F,M,becarios,MF,M,,
Justo antes de la cena,,,,,,,,,,,F,becaria,M/F,F,becarias,MF,F,,
Justo después de la cena,,,,,,,,,,,T,entrevistador,M,M,entrevistadores,M,M,,
Justo antes de la cena,,,,,,,,,,,T,entrevistadora,F,F,entrevistadoras,F,F,,
Justo después de la cena,,,,,,,,,,,F,investigador,M,M,investigadores,M,M,,
Justo antes del brunch,,,,,,,,,,,F,investigadora,F,F,investigadoras,F,F,,
Justo después del brunch,,,,,,,,,,,F,periodista,M/F,M,periodistas,MF,M,,
Justo antes del postre,,,,,,,,,,,F,periodista,M/F,F,periodistas,MF,F,,
Justo después del postre,,,,,,,,,,,F,juez,M/F,M,jueces,MF,M,,
Justo antes de medianoche,,,,,,,,,,,F,jueza,M/F,F,juezas,MF,F,,
Justo después de medianoche,,,,,,,,,,,T,abogado,M,M,abogados,M,M,,
Justo antes del amanecer,,,,,,,,,,,T,abogada,F,F,abogadas,F,F,,
Justo después del amanecer,,,,,,,,,,,F,directivo,M,M,directivos,M,M,,
Justo antes del atardecer,,,,,,,,,,,F,directiva,F,F,directivas,F,F,,
Justo después del atardecer,,,,,,,,,,,F,bibliotecario,M/F,M,bibliotecarios,MF,M,,
Justo antes de acostarse,,,,,,,,,,,F,bibliotecaria,M/F,F,bibliotecarias,MF,F,,
Justo después de acostarse,,,,,,,,,,,F,mecánico,M,M,mecánicos,M,M,,
Mucho antes del desayuno,,,,,,,,,,,F,mecánica,F,F,mecánicas,F,F,,
Mucho después del desayuno,,,,,,,,,,,F,miembro,M/F,M,miembros,MF,M,,
Mucho antes del almuerzo,,,,,,,,,,,F,miembro,M/F,F,miembros,MF,F,,
Mucho después del almuerzo,,,,,,,,,,,T,madre,F,F,madres,F,F,,
Mucho antes de la cena,,,,,,,,,,,F,músico,M,M,músicos,M,M,,
Mucho después de la cena,,,,,,,,,,,F,música,F,F,músicas,F,F,,
Mucho antes de la cena,,,,,,,,,,,T,vecino,M,M,vecinos,M,M,,
Mucho después de la cena,,,,,,,,,,,T,vecina,F,F,vecinas,F,F,,
Mucho antes del brunch,,,,,,,,,,,F,enfermero,M,M,enfermeros,M,M,,
Mucho después del brunch,,,,,,,,,,,F,enfermera,F,F,enfermeras,F,F,,
Mucho antes de medianoche,,,,,,,,,,,F,observador,M,M,observadores,M,M,,
Mucho después de medianoche,,,,,,,,,,,F,observadora,F,F,observadoras,F,F,,
Mucho antes del amanecer,,,,,,,,,,,F,agente,M/F,M,agentes,MF,M,,
Mucho después del amanecer,,,,,,,,,,,F,agente,M/F,F,agentes,MF,F,,
Mucho antes del atardecer,,,,,,,,,,,F,organizador,M,M,organizadores,M,M,,
Mucho después del atardecer,,,,,,,,,,,F,organizadora,F,F,organizadoras,F,F,,
Mucho antes de acostarse,,,,,,,,,,,F,participante,M,M,participantes,M,M,,
Mucho después de acostarse,,,,,,,,,,,F,participante,F,F,participantes,F,F,,
Durante este período,,,,,,,,,,,T,pareja,M/F,M,parejas,MF,M,,
Después de este período,,,,,,,,,,,T,pareja,M/F,F,parejas,MF,F,,
Antes de este período,,,,,,,,,,,F,pasajero,M,M,pasajeros,M,M,,
Durante este año,,,,,,,,,,,F,pasajera,F,F,pasajeras,F,F,,
Antes de este año,,,,,,,,,,,F,paciente,M,M,pacientes,M,M,,
Después de este año,,,,,,,,,,,F,paciente,F,F,pacientes,F,F,,
Durante el viaje,,,,,,,,,,,F,peatón,M,M,peatones,M,M,,
Después del viaje,,,,,,,,,,,F,peatona,F,F,peatonas,F,F,,
Antes del viaje,,,,,,,,,,,F,piloto,M/F,M,pilotos,MF,M,,
Mucho antes de enero,,,,,,,,,,,F,piloto,M/F,F,pilotos,MF,F,,
Mucho después de enero,,,,,,,,,,,F,policía,M,M,policías,M,M,,
Mucho antes de febrero,,,,,,,,,,,F,policía,F,F,policías,F,F,,
Mucho después de febrero,,,,,,,,,,,T,profesor,M,M,profesores,M,M,,
Mucho antes de marzo,,,,,,,,,,,T,profesora,F,F,profesoras,F,F,,
Mucho después de marzo,,,,,,,,,,,F,lector,M,M,lectores,M,M,,
Mucho antes de abril,,,,,,,,,,,F,lectora,F,F,lectoras,F,F,,
Mucho después de abril,,,,,,,,,,,F,recepcionista,M/F,M,recepcionistas,MF,M,,
Mucho antes de mayo,,,,,,,,,,,F,recepcionista,M/F,F,recepcionistas,MF,F,,
Mucho después de mayo,,,,,,,,,,,T,representante,M,M,representantes,M,M,,
Mucho antes de junio,,,,,,,,,,,T,representante,F,F,representantes,F,F,,
Mucho después de junio,,,,,,,,,,,T,investigador,M,M,investigadores,M,M,,
Mucho antes de julio,,,,,,,,,,,T,investigadora,F,F,investigadoras,F,F,,
Mucho después de julio,,,,,,,,,,,T,residente,M,M,residentes,M,M,,
Mucho antes de agosto,,,,,,,,,,,T,residente,F,F,residentes,F,F,,
Mucho después de agosto,,,,,,,,,,,T,compañero de piso,M/F,M,compañeros de piso,MF,M,,
Mucho antes de septiembre,,,,,,,,,,,T,compañera de piso,M/F,F,compañeras de piso,MF,F,,
Mucho después de septiembre,,,,,,,,,,,F,marinero,M,M,marineros,M,M,,
Mucho antes de octubre,,,,,,,,,,,F,marinera,F,F,marineras,F,F,,
Mucho después de octubre,,,,,,,,,,,F,científico,M/F,M,científicos,MF,M,,
Mucho antes de noviembre,,,,,,,,,,,F,científica,M/F,F,científicas,MF,F,,
Mucho después de noviembre,,,,,,,,,,,F,secretario,M,M,secretarios,M,M,,
Mucho antes de diciembre,,,,,,,,,,,F,secretaria,F,F,secretarias,F,F,,
Mucho después de diciembre,,,,,,,,,,,F,soldado,M/F,M,soldados,MF,M,,
Durante el lanzamiento,,,,,,,,,,,F,soldado,M/F,F,soldados,MF,F,,
Durante la sesión de orientación,,,,,,,,,,,F,orador,M,M,oradores,M,M,,
Durante la reunión,,,,,,,,,,,F,oradora,F,F,oradoras,F,F,,
Durante la conversación,,,,,,,,,,,F,extranjero,M,M,extranjeros,M,M,,
Durante la conferencia,,,,,,,,,,,F,extranjera,F,F,extranjeras,F,F,,
Durante la reunión de antiguos alumnos,,,,,,,,,,,F,estudiante,M,M,estudiantes,M,M,,
Durante la inauguración,,,,,,,,,,,F,estudiante,F,F,estudiantes,F,F,,
Durante la clausura,,,,,,,,,,,T,supervisor,M,M,supervisores,M,M,,
Durante la conclusión,,,,,,,,,,,T,supervisora,F,F,supervisoras,F,F,,
Durante el final,,,,,,,,,,,F,superviviente,M/F,M,supervivientes,MF,M,,
Durante el comienzo,,,,,,,,,,,F,superviviente,F,F,supervivientes,F,F,,
Desde el principio,,,,,,,,,,,T,profesor,M,M,profesores,M,M,,
Durante la ceremonia,,,,,,,,,,,T,profesora,F,F,profesoras,F,F,,
Durante la recepción,,,,,,,,,,,T,compañero de equipo,M,M,compañeros de equipo,M,M,,
En la estación,,,,,,,,,,,T,compañera de equipo,F,F,compañeras de equipo,F,F,,
En el aeropuerto,,,,,,,,,,,F,técnico,M,M,técnicos,M,M,,
En la oficina,,,,,,,,,,,F,técnica,F,F,técnicas,F,F,,
En el hospital,,,,,,,,,,,F,viajero,M,M,viajeros,M,M,,
Al principio,,,,,,,,,,,F,viajera,F,F,viajeras,F,F,,
Al final,,,,,,,,,,,T,tío,M,M,tíos,M,M,,
,,,,,,,,,,,T,visitante,M/F,M,visitantes,MF,M,,
,,,,,,,,,,,T,visitante,M/F,F,visitantes,MF,F,,
,,,,,,,,,,,F,voluntario,M,M,voluntarios,M,M,,
,,,,,,,,,,,F,voluntaria,F,F,voluntarias,F,F,,
,,,,,,,,,,,F,esposo,M,M,esposos,M,M,,
,,,,,,,,,,,T,esposa,F,F,esposas,F,F,,
,,,,,,,,,,,F,testigo,M/F,M,testigos,MF,M,,
,,,,,,,,,,,F,testigo,M/F,F,testigos,MF,F,,
,,,,,,,,,,,F,trabajador,M,M,trabajadores,M,M,,
,,,,,,,,,,,F,trabajadora,F,F,trabajadoras,F,F,,
