LF,keyverb_eng,verb_en,verb_fr,object_fr,collocation,full_expression
Oper1,distinction,make ,faire,distinction,T,faire une distinction
Oper1,effort,exert ,faire,effort,T,faire un effort
Oper1,error,make ,faire,erreur,T,faire une erreur
Oper1,estimate,make ,faire,estimation,T,faire une estimation
Oper1,exercise,take ,faire,exercice,T,faire un exercice
Oper1,experiment,run ,faire,expérience,T,faire une expérience
Oper1,fall,have ,faire,chute,T,faire une chute
Oper1,foray,make ,faire,incursion,T,faire une incursion
Oper1,fuss,make ,faire,histoire,T,faire une histoire
Oper1,grimace,make ,faire,grimace,T,faire une grimace
Oper1,grin,give,faire,sourire,T,faire un sourire
Oper1,hint,drop ,faire,allusion,T,faire une allusion
Oper1,inspection,conduct ,faire,inspection,T,faire une inspection
Oper1,intervention,make ,faire,intervention,T,faire une intervention
Oper1,investigation,hold ,faire,enquête,T,faire une enquête
Oper1,job,do ,faire,travail,T,faire un travail
Oper1,joke,make ,faire,blague,T,faire une blague
Oper1,journey,do ,faire,voyage,T,faire un voyage
Oper1,modification,make ,faire,modification,T,faire une modification
Oper1,move,make ,faire,geste,T,faire un geste
Oper1,objection,make ,faire,objection,T,faire une objection
Oper1,observation,give,faire,observation,T,faire une observation
Oper1,obstacle,pose ,faire,obstacle,T,faire obstacle
Oper1,prediction,make ,faire,prédiction,T,faire une prédiction
Oper1,presentation,do ,faire,présentation,T,faire une présentation
Oper1,promise,make ,faire,promesse,T,faire une promesse
Oper1,proposal,make ,faire,proposition,T,faire une proposition
Oper1,question,put ,faire,question,T,faire question
Oper1,queue,wait ,faire,queue,T,faire la queue
Oper1,recommendation,make ,faire,recommandation,T,faire une recommandation
Oper1,remark,make ,faire,remarque,T,faire une remarque
Oper1,research,do ,faire,recherche,T,faire une recherche
Oper1,return,make ,faire,retour,T,faire un retour
Oper1,sermon,hold ,faire,sermon,T,faire un sermon
Oper1,stride,make ,faire,progrès,T,faire des progrès
Oper1,suggestion,give,faire,suggestion,T,faire une suggestion
Oper1,talk,make ,faire,discours,T,faire un discours
Oper1,threat,make ,faire,menace,T,faire une menace
Oper1,tour,make ,faire,tour,T,faire un tour
Oper1,search,do ,faire ,recherche,T,faire une recherche
Oper2,accolade,receive ,recevoir,éloge,T,recevoir un éloge
Oper2,apology,receive ,recevoir,excuses,T,recevoir des excuses
Oper2,applause,receive ,recevoir,applaudissements ,T,recevoir des applaudissements
Oper2,approval,meet  ,recevoir,approbation,T,recevoir une approbation
Oper2,complaint,receive ,recevoir,plainte,T,recevoir une plainte
Oper2,compliment,receive ,recevoir,compliment,T,recevoir un compliment
Oper2,criticism,receive ,recevoir,critique,T,recevoir une critique
Oper2,help,receive ,recevoir,aide,T,recevoir de l'aide
Oper2,hug,get ,recevoir,accolade,T,recevoir une accolade
Oper2,injury,receive ,recevoir,blessure,T,recevoir une blessure
Oper2,invitation,receive  ,recevoir,invitation,T,recevoir une invitation
Oper2,ovation,receive ,recevoir,ovation,T,recevoir une ovation
Oper2,request,receive ,recevoir,demande,T,recevoir une demande
Oper2,sentence,receive ,recevoir,verdict,T,recevoir un verdict
Oper2,threat,receive ,recevoir,menace,T,recevoir une menace
Oper2,treatment,receive ,recevoir,traitement,T,recevoir un traitement
Oper3,gift,receive ,recevoir,cadeau,T,recevoir un cadeau
Oper3,offer,get ,recevoir,offre,T,recevoir une offre
Oper3,order,receive ,recevoir,ordre,T,recevoir un ordre
Oper3,proposal,get ,recevoir,proposition,T,recevoir une proposition
Oper1,access,have ,avoir,accès,T,avoir accès
Oper1,accident,have ,avoir,accident,T,avoir un accident
Oper1,need,have ,avoir,besoin,T,avoir besoin
Oper1,chance,have ,avoir,chance,T,avoir de la chance
Oper1,charm,have ,avoir,charme,T,avoir du charme
Oper1,confidence,have ,avoir,confiance,T,avoir confiance
Oper1,conversation,have ,avoir,conversation,T,avoir une conversation
Oper2,credence,have ,avoir,crédibilité,T,avoir de la crédibilité
Oper2,difficulties,experience ,avoir,difficultés,T,avoir des difficultés
Oper1,direction,have ,avoir,direction,T,avoir une direction
Oper1,argument,have ,avoir,discussion,T,avoir une discussion
Oper1,experience,have ,avoir,expérience,T,avoir de l'expérience
Oper1,taste,have ,avoir,goût,T,avoir du goût
Oper1,impression,have ,avoir ,impression,T,avoir une impression
Oper1,purpose,have ,avoir,objectif,T,avoir un objectif
Oper1,objection,have ,avoir ,objection,T,avoir une objection
Oper1,opportunity,have ,avoir ,occasion,T,avoir une occasion
Oper1,opinion,have ,avoir ,opinion,T,avoir une opinion
Oper1,passion,have ,avoir,passion,T,avoir une passion
Oper1,patience,have ,avoir,patience,T,avoir de la patience
Oper2,problem,have ,avoir,problème,T,avoir un problème
Oper1,success,meet ,avoir,succès,T,avoir du succès
Oper1,voice,have ,avoir,voix,T,avoir une voix
Oper1,career,have ,avoir,carrière,T,avoir une carrière
Oper1,sympathy,have ,avoir,compassion,T,avoir de la compassion
no,apartment,have ,avoir,appartement,F,avoir un appartement
no,boat,have ,avoir,bateau,F,avoir un bateau
no,bottle,have ,avoir,bouteille,F,avoir une bouteille
no,notebook,have ,avoir,cahier,F,avoir un cahier
no,chair,have ,avoir,chaise,F,avoir une chaise
no,room,have ,avoir,chambre,F,avoir une chambre
no,key,have ,avoir,clé,F,avoir une clé
no,kitchen,have ,avoir,cuisine,F,avoir une cuisine
no,garage,have ,avoir,garage,F,avoir un garage
no,guitar,have ,avoir,guitare,F,avoir une guitare
no,garden,have ,avoir,jardin,F,avoir un jardin
no,lamp,have ,avoir,lampe,F,avoir une lampe
no,book,have ,avoir,livre,F,avoir un livre
no,house,have ,avoir,maison,F,avoir une maison
no,computer,have ,avoir,ordinateur,F,avoir un ordinateur
no,passport,have ,avoir,passeport,F,avoir un passeport
no,piano,have ,avoir,piano,F,avoir un piano
no,bag,have ,avoir,sac,F,avoir un sac
no,pen,have ,avoir,stylo,F,avoir un stylo
no,table,have ,avoir,table,F,avoir une table
no,mug,have ,avoir,tasse,F,avoir une tasse
no,television,have ,avoir,télévision,F,avoir une télévision
no,suitcase,have ,avoir,valise,F,avoir une valise
no,career,have ,avoir,voiture,F,avoir une voiture
no,book,take,prendre,livre,F,prendre un livre
no,notebook,take,prendre,cahier,F,prendre un cahier
no,pen,take,prendre,stylo,F,prendre un stylo
no,pencil,take,prendre,crayon,F,prendre un crayon
no,chair,take,prendre,chaise,F,prendre une feuille
no,key,take,prendre,clé,F,prendre une clé
no,mug,take,prendre,tasse,F,prendre une tasse
no,umbrella,take,prendre,parapluie,F,prendre un parapluie
no,bag,take,prendre,sac,F,prendre un sac
no,suitcase,take,prendre,valise,F,prendre une valise
no,letter,receive,recevoir,lettre,F,recevoir une lettre
no,package,receive,recevoir,paquet,F,recevoir un paquet
no,box,receive,recevoir,boîte,F,recevoir une boîte
no,flower,receive,recevoir,fleur,F,recevoir une fleur
no,book,receive,recevoir,livre,F,recevoir un livre
no,bouquet,receive,recevoir,bouquet,F,recevoir un bouquet
no,newspaper,receive,recevoir,journal,F,recevoir un journal
no,magazine,receive,recevoir,magazine,F,recevoir un magazine
no,photograph,receive,recevoir,photographie,F,recevoir une photographie
no,jewel,receive,recevoir,bijou,F,recevoir un bijou
no,card,receive,recevoir,carte,F,recevoir une carte
no,key,receive,recevoir,clé,F,recevoir une clé
no,bill,receive,recevoir,facture,F,recevoir une facture
no,ticket,receive,recevoir,billet,F,recevoir un billet
no,passport,receive,recevoir,passeport,F,recevoir un passeport
no,suitcase,receive,recevoir,valise,F,recevoir une valise
no,medal,receive,recevoir,médaille,F,recevoir une médaille
no,trophy,receive,recevoir,trophée,F,recevoir un trophée
no,certificate,receive,recevoir,certificat,F,recevoir un certificat
no,check,receive,recevoir,chèque,F,recevoir un chèque
no,letter,give,donner,lettre,F,donner une lettre
no,package,give,donner,paquet,F,donner un paquet
no,box,give,donner,boîte,F,donner une boîte
no,flower,give,donner,fleur,F,donner une fleur
no,book,give,donner,livre,F,donner un livre
no,bouquet,give,donner,bouquet,F,donner un bouquet
no,newspaper,give,donner,journal,F,donner un journal
no,magazine,give,donner,magazine,F,donner un magazine
no,photograph,give,donner,photographie,F,donner une photographie
no,jewel,give,donner,bijou,F,donner un bijou
no,card,give,donner,carte,F,donner une carte
no,key,give,donner,clé,F,donner une clé
no,bill,give,donner,facture,F,donner une facture
no,ticket,give,donner,billet,F,donner un billet
no,passport,give,donner,passeport,F,donner un passeport
no,suitcase,give,donner,valise,F,donner une valise
no,medal,give,donner,médaille,F,donner une médaille
no,trophy,give,donner,trophée,F,donner un trophée
no,certificate,give,donner,certificat,F,donner un certificat
no,check,give,donner,chèque,F,donner un chèque
no,cake,make ,faire,gâteau,F,faire un gâteau
no,meal,make ,faire,repas,F,faire un repas
no,soup,make ,faire,soupe,F,faire une soupe
no,salad,make ,faire,salade,F,faire une salade
no,pizza,make ,faire,pizza,F,faire une pizza
no,sandwich,make ,faire,sandwich,F,faire un sandwich
no,omelet,make ,faire,omelette,F,faire une omelette
no,dessert,make ,faire,dessert,F,faire un dessert
no,coffee,make ,faire,café,F,faire un café
no,tea,make ,faire,thé,F,faire un thé
no,cabin,make ,faire,cabane,F,faire une cabane
no,table,make ,faire,table,F,faire une table
no,chair,make ,faire,chaise,F,faire une chaise
no,bed,make ,faire,lit,F,faire un lit
no,box,make ,faire,boîte,F,faire une boîte
no,crate,make ,faire,caisse,F,faire une caisse
no,basket,make ,faire,panier,F,faire un panier
no,necklace,make ,faire,collier,F,faire un collier
no,bracelet,make ,faire,bracelet,F,faire un bracelet
no,costume,make ,faire,costume,F,faire un costume
no,dress,make ,faire,robe,F,faire une robe
no,shirt,make ,faire,chemise,F,faire une chemise
no,scarf,make ,faire,écharpe,F,faire une écharpe
no,sweater,make ,faire,pull,F,faire un pull
no,pie,make ,faire,tarte,F,faire une tarte
no,jam,make ,faire,confiture,F,faire de la confiture
no,candle,make ,faire,bougie,F,faire une bougie
no,soap,make ,faire,savon,F,faire du savon
no,cushion,make ,faire,coussin,F,faire un coussin
no,bouquet,make ,faire,bouquet,F,faire un bouquet
no,suitcase,make ,faire,valise,F,faire une valise
no,package,make ,faire,paquet,F,faire un paquet
no,key,make ,faire,clé,F,faire une clé
no,mask,make ,faire,masque,F,faire un masque
no,kite,make ,faire,cerf-volant,F,faire un cerf-volant
