verb_object,verb,object,has_determiner,obj_number,collocation,LF,,,,,,,
make a sandwich,make,sandwich,a,sg,F,no,,,,,,,
make a salad,make,salad,a,sg,F,no,,,,,,,
make a coffee,make,coffee,a,sg,F,no,,,,,,,
make a tea,make,tea,a,sg,F,no,,,,,,,
make a toy,make,toy,a,sg,F,no,,,,,,,
make a sculpture,make,sculpture,a,sg,F,no,,,,,,,
make a jewel,make,jewel,a,sg,F,no,,,,,,,
make a cup,make,cup,a,sg,F,no,,,,,,,
make a mug,make,mug,a,sg,F,no,,,,,,,
make a candle,make,candle,a,sg,F,no,,,,,,,
make a pot,make,pot,a,sg,F,no,,,,,,,
make a bracelet,make,bracelet,a,sg,F,no,,,,,,,
make a book,make,book,a,sg,F,no,,,,,,,
make a box,make,box,a,sg,F,no,,,,,,,
make a bag,make,bag,a,sg,F,no,,,,,,,
make a toy,make,toy,a,sg,F,no,,,,,,,
make a drawing,make,drawing,a,sg,F,no,,,,,,,
make a dress,make,dress,a,sg,F,no,,,,,,,
make a sweater,make,sweater,a,sg,F,no,,,,,,,
make a scarf,make,scarf,a,sg,F,no,,,,,,,
